Name,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,,,,,,,,,,,,,,,,,,,,
20 Microns,227.99,-2.76%,234.47,"78,681",804.5,12.93,17.48,348,158.2,0.50%,16.60%,26.42%,209.77%,712.80%,1.92,0.53%,-,23.35%,-,218.31,238.1,49.46,,,,,,,,,,,,,,,,,,,,
360 One WAM,"1,089.55",0.23%,"1,090.00","13,82,523","42,811.30",39.63,32.57,"1,318.00",778.15,13.26%,28.74%,37.84%,199.47%,350.49%,6.07,0.55%,23.31%,15.17%,25.49,973.2,"1,047.33",61.36,,,,,,,,,,,,,,,,,,,,
3I Infotech,26.14,-2.02%,26.67,"9,00,599",443.38,17.88,41.34,42.59,20.22,9.88%,15.87%,-28.97%,-40.59%,1061.78%,2.19,-,0.21%,-79.26%,-,23.79,27.55,66.76,,,,,,,,,,,,,,,,,,,,
3M India,"29,230.00",-0.32%,"29,495.00","2,202","32,927.80",54.03,31.42,"40,856.50","25,718.15",0.10%,4.58%,-19.33%,43.73%,67.95%,15.39,2.34%,27.17%,35.84%,542.46,"29,438.60","31,038.14",48.85,,,,,,,,,,,,,,,,,,,,
3P Land Holdings,56.85,0.02%,57,"8,558",102.33,49.32,32.57,82.06,29.08,32.30%,36.82%,81.05%,297.55%,915.18%,0.74,-,-,2.32%,-,44.5,46.86,66.79,,,,,,,,,,,,,,,,,,,,
5Paisa Capital,407.8,-2.03%,416.25,"23,940","1,273.82",19.08,32.57,607.05,311.65,10.32%,20.85%,-23.11%,30.60%,148.81%,2.16,-,9.40%,18.65%,19.22,385.28,442.57,67.45,,,,,,,,,,,,,,,,,,,,
63 Moons Technologies,912.8,0.39%,916.4,"4,57,557","4,206.05",44.8,41.34,"1,078.80",316,35.44%,32.87%,154.19%,459.66%,975.78%,1.23,0.13%,-0.71%,6.44%,37.88,765.86,672.1,59.98,,,,,,,,,,,,,,,,,,,,
A & M Jumbo Bags,6.5,4.00%,6.5,"8,000",6.83,-,24.63,23.1,6.25,-10.34%,-18.75%,-68.90%,-68.90%,-68.90%,0.75,-,-,-13.19%,-,11.38,12.27,20.54,,,,,,,,,,,,,,,,,,,,
A2Z Infra Engineering,18.3,-2.30%,18.61,"2,78,556",322.3,34.76,27.97,26.8,12.35,35.76%,10.17%,-20.50%,63.39%,315.91%,7.32,-,-,2.05%,-,15.24,17.91,68.81,,,,,,,,,,,,,,,,,,,,
AAA Technologies,90.14,0.08%,90.54,"28,294",115.62,32.88,41.34,160.85,66,11.67%,25.95%,-22.73%,95.96%,210.08%,3.75,1.66%,11.49%,15.36%,2.65,81.37,101.86,68.6,,,,,,,,,,,,,,,,,,,,
Aadhar Housing Finance,442.95,-0.67%,447,"2,48,635","19,108.17",21.16,28.13,516.8,346.05,0.29%,4.15%,13.36%,34.45%,34.45%,3.03,-,14.73%,10.57%,18.84,452.96,429.67,53.63,,,,,,,,,,,,,,,,,,,,
Aakash Exploration Services,8.46,-1.05%,8.44,"1,13,879",85.66,17.1,21.68,17.15,7.06,2.55%,-0.70%,-33.18%,-60.09%,438.85%,1.45,-,-,15.26%,-,8.25,10.02,53.11,,,,,,,,,,,,,,,,,,,,
Aarey Drugs & Pharmaceuticals,54.7,1.75%,55.85,"41,603",155.1,38.33,34.23,74.8,31.35,2.42%,47.12%,13.65%,63.53%,26.18%,1.11,-,-,7.11%,-,52.04,55.01,54.92,,,,,,,,,,,,,,,,,,,,
Aaron Industries,393.75,-0.42%,395.05,"4,364",412.38,50.24,39.32,430,251.05,14.50%,12.32%,46.59%,252.03%,1660.17%,9.62,0.25%,26.39%,16.71%,6.29,364.96,328.82,57.52,,,,,,,,,,,,,,,,,,,,
Aartech Solonics,71.15,-2.72%,73,"13,47,053",226.05,86.01,44.35,240,49.75,28.97%,15.30%,-0.48%,81.83%,81.83%,7.47,-,-,10.50%,-,57.58,67.41,66.73,,,,,,,,,,,,,,,,,,,,
Aarti Drugs,475.5,0.61%,472.6,"6,56,670","4,339.89",25.82,34.23,635,312,10.99%,39.77%,-7.41%,13.17%,95.08%,3.17,0.21%,13.95%,16.44%,17.06,405.84,443.42,59.18,,,,,,,,,,,,,,,,,,,,
Aarti Industries,470,-1.71%,479.75,"8,48,218","17,038.44",52.63,36.4,765.5,344.2,0.30%,19.97%,-29.39%,-23.26%,17.33%,3.09,0.21%,7.87%,8.62%,13.35,440.73,466.11,61.11,,,,,,,,,,,,,,,,,,,,
Aarti Pharma Labs,921.65,0.52%,921.4,"1,69,691","8,352.55",30.52,43.06,949.5,551.05,15.29%,26.05%,51.94%,219.74%,219.74%,4.18,0.55%,12.34%,16.83%,24.86,790.44,694.08,66.61,,,,,,,,,,,,,,,,,,,,
Aarti Surfactants,580,-1.35%,587.95,"5,154",490.59,43.07,36.4,918,396,24.37%,29.99%,-16.46%,-13.86%,21.14%,2.15,0.17%,-,15.77%,-,498.18,601.65,64.52,,,,,,,,,,,,,,,,,,,,
Aarvee Denims & Exports,154.49,-2.00%,154.49,"18,008",362.43,-,23.14,160.87,23.85,12.19%,2.99%,538.12%,618.56%,1255.18%,1.61,-,-18.15%,-0.64%,-,140.02,104.33,78.64,,,,,,,,,,,,,,,,,,,,
Aarvi Encon,112.22,-0.92%,113.27,"2,361",166.21,16.71,35.52,168,88,5.75%,10.64%,-20.46%,12.78%,376.52%,1.34,1.77%,9.72%,11.46%,7.2,108.27,126.78,50.67,,,,,,,,,,,,,,,,,,,,
Aatmaj Healthcare,18.9,-,18.9,"2,000",42.71,67.5,53.31,33.5,14.5,-6.20%,8.00%,-30.90%,-64.47%,-64.47%,0.85,0.26%,1.78%,5.03%,0.39,18.03,23.02,53.68,,,,,,,,,,,,,,,,,,,,
Aavas Financiers,"1,834.10",-0.50%,"1,872.00","59,374","14,516.89",29.73,28.13,"2,234.00","1,603.30",-2.18%,0.98%,-3.85%,-8.64%,43.90%,3.86,-,13.00%,8.96%,61.97,"1,916.75","1,772.16",55.61,,,,,,,,,,,,,,,,,,,,
AB Cotspin,439,-4.84%,455,"4,250",720.81,99.22,23.14,516,209.1,-2.77%,-6.77%,76.31%,1185.51%,986.63%,6.78,-,-,15.34%,-,449.76,411.51,53.24,,,,,,,,,,,,,,,,,,,,
AB Infrabuild,148.4,0.34%,149.99,"46,601",947.96,56.48,27.46,149.75,45.42,47.35%,73.14%,164.53%,1617.59%,1790.45%,7.75,0.03%,-,21.01%,-,106.7,87.29,74.7,,,,,,,,,,,,,,,,,,,,
Aban Offshore,54.25,-2.62%,56.35,"2,13,949",316.63,-,21.68,91.5,35.32,40.80%,35.69%,-26.84%,13.49%,136.38%,-0.01,-,-,0.86%,-,41.38,55.61,80.89,,,,,,,,,,,,,,,,,,,,
Abans Financial Services,259.52,1.64%,254.64,"1,70,083","1,312.55",12.63,32.57,269.5,173.68,26.51%,46.62%,46.62%,46.62%,46.62%,1.2,-,-,12.42%,-,199.28,287.34,71.85,,,,,,,,,,,,,,,,,,,,
ABB,"6,016.50",-1.00%,"6,079.00","2,91,429","1,27,494.67",68.17,44.35,"9,145.00","4,684.45",7.69%,17.06%,-27.35%,157.40%,645.17%,18.2,0.73%,21.00%,35.54%,75.95,"5,646.52","6,563.95",68.99,,,,,,,,,,,,,,,,,,,,
Abbott,"31,600.00",-0.11%,"31,640.00","5,940","67,147.79",47.51,62.13,"32,200.00","25,325.00",5.11%,6.06%,14.66%,76.49%,96.47%,15.87,1.50%,32.48%,42.33%,583.05,"30,466.98","29,255.47",61.96,,,,,,,,,,,,,,,,,,,,
Abha Power and Steel,32.2,1.90%,32.2,"9,600",59.85,9.43,36.94,81.9,26.45,9.34%,9.52%,-58.61%,-58.61%,-58.61%,1.16,-,-,22.11%,-,30.68,-,47.56,,,,,,,,,,,,,,,,,,,,
Abhishek Integrations,80,-,-,-,48.17,47.06,27.46,115.2,50,-6.92%,38.05%,27.69%,248.58%,110.53%,4.69,-,-,16.47%,-,64.72,70.37,59.59,,,,,,,,,,,,,,,,,,,,
ABM International,49,-2.22%,50.8,600,46.1,271.67,35.81,110.62,40.93,-0.08%,-2.35%,-31.96%,-46.15%,-60.03%,3.48,-,-,-26.67%,-,49.05,59.9,51.78,,,,,,,,,,,,,,,,,,,,
ABN Intercorp,-,-,-,-,-,-,43.96,-,-,-,-,-,-,-,-,-,0.65%,0.84%,-,-,-,-,,,,,,,,,,,,,,,,,,,,
ABS Marine Services,161.9,1.98%,161.9,"7,000",397.46,14.37,26.99,425,92.1,36.86%,53.75%,-32.93%,-38.99%,-38.99%,1.69,-,-,20.18%,-,121.1,181.86,82.52,,,,,,,,,,,,,,,,,,,,
ACC,"1,869.20",-1.92%,"1,909.70","2,12,014","35,101.20",15.51,54.95,"2,844.00","1,778.45",0.56%,0.19%,-28.78%,-11.88%,47.32%,1.93,0.39%,14.31%,16.38%,107.42,"1,933.96","2,100.08",51.05,,,,,,,,,,,,,,,,,,,,
Accelya Solutions,"1,439.40",0.22%,"1,440.00","23,221","2,148.49",17.01,41.34,"1,980.00","1,218.50",5.92%,12.57%,-14.35%,58.05%,51.17%,7.45,4.52%,46.93%,42.84%,78.22,"1,353.51","1,502.24",69.04,,,,,,,,,,,,,,,,,,,,
Accent Microcell,230,-0.88%,232.45,"17,000",551.75,16.84,43.06,315,180,8.82%,15.78%,-20.50%,-26.98%,-26.98%,2.37,0.43%,18.41%,22.56%,14.73,209.18,234.92,58.09,,,,,,,,,,,,,,,,,,,,
Accord Synergy,22.15,-,-,-,7.69,29.13,32.27,37,17.5,9.65%,8.85%,-25.92%,-0.89%,114.01%,0.57,-,2.07%,2.44%,1.13,24.78,28.29,49.68,,,,,,,,,,,,,,,,,,,,
Accretion Pharmaceuticals,78.5,-1.01%,81.3,"82,800",87.26,12.98,43.06,82.95,62.55,-5.36%,-5.36%,-5.36%,-5.36%,-5.36%,1.96,-,-,19.85%,-,-,-,30.34,,,,,,,,,,,,,,,,,,,,
Accuracy Shipping,8.6,-0.81%,8.8,"1,03,025",129.48,27.97,35.52,13.9,6.51,6.70%,3.12%,-16.59%,-66.71%,258.33%,1.08,-,-,7.75%,-,8.22,9.47,55.53,,,,,,,,,,,,,,,,,,,,
Ace Integrated Solutions,26.76,-0.22%,28.2,"15,528",27.3,47.05,41.34,44.34,20,13.92%,24.93%,-22.73%,-2.34%,177.88%,1.56,-,2.55%,2.02%,0.43,25.25,28.95,53.53,,,,,,,,,,,,,,,,,,,,
ACME Solar Holdings,244.9,-3.24%,256,"5,63,122","14,818.60",57.3,27.97,292.4,167.75,10.69%,24.06%,-3.26%,-3.26%,-3.26%,3.4,0.08%,-,14.01%,-,224.72,-,59.37,,,,,,,,,,,,,,,,,,,,
Action Construction Equipment,"1,235.00",-1.75%,"1,258.00","1,06,923","14,706.77",36.55,39.32,"1,603.00",917.45,2.27%,5.67%,-14.69%,512.75%,2159.84%,9.26,0.16%,26.65%,36.73%,28.95,"1,238.14","1,285.22",50.68,,,,,,,,,,,,,,,,,,,,
Active Infrastructures,170,-1.16%,175,"1,200",255.26,27.22,27.46,181.4,147.05,-,-3.19%,-3.19%,-3.19%,-3.19%,2.31,0.58%,-,37.98%,-,-,-,46.54,,,,,,,,,,,,,,,,,,,,
Acutaas Chemicals,"1,101.30",-0.33%,"1,104.00","2,88,035","9,016.22",56.96,34.23,"1,194.00","1,096.00",-6.38%,-6.38%,-6.38%,-6.38%,-6.38%,6.9,0.14%,14.02%,10.83%,15.13,"1,151.71","1,032.13",44.85,,,,,,,,,,,,,,,,,,,,
Adani Energy Solutions,882.25,-2.46%,908.4,"34,04,028","1,05,983.16",45.94,43.14,"1,348.00",588,-1.35%,12.86%,-13.55%,-1.44%,-1.44%,4.93,-,8.73%,6.77%,12.54,886.69,863.11,59.65,,,,,,,,,,,,,,,,,,,,
Adani Green Energy,"1,018.50",-2.70%,"1,050.00","18,72,137","1,61,333.71",94.76,43.14,"2,091.00",758,8.29%,19.34%,-44.26%,-43.38%,202.76%,19.79,-,7.22%,8.15%,8.71,960.34,"1,232.09",66.62,,,,,,,,,,,,,,,,,,,,
Adani Total Gas,675,-3.24%,700,"9,48,255","74,237.18",117.05,35.52,964.8,532.6,6.96%,12.41%,-29.07%,-71.12%,409.63%,18.24,0.04%,18.64%,15.92%,6.27,638.37,684.98,69.46,,,,,,,,,,,,,,,,,,,,
Addictive Learning Technology,137.45,-2.00%,137.45,"45,000",218.68,20.84,35.52,448.5,125.6,-2.34%,-18.43%,-54.41%,-55.55%,-55.55%,2.82,-,-,15.12%,-,151.9,279.01,38.48,,,,,,,,,,,,,,,,,,,,
ADF Foods,284.57,-4.44%,294.7,"1,74,146","3,126.39",47.28,39.33,353.95,209.11,25.92%,18.45%,28.04%,94.62%,383.96%,6.65,0.40%,16.69%,19.94%,6.85,235.81,268.18,67.09,,,,,,,,,,,,,,,,,,,,
